method,n_images,asr,median_final_margin,median_hidden_mobility,median_transport_energy,median_clean_jvp_gain,median_transport_input_ratio,median_constrained_input_ratio,max_linf_255
baseline_margin_pgd,200,1.0,-20.145801544189453,19.463522911071777,0.6488502621650696,5.583287954330444,0.14369964599609375,0.14369964599609375,8.00000712275505
jvp_penalty_lambda_0.1,200,1.0,-20.142242431640625,19.36384677886963,0.6282213926315308,5.420421600341797,0.13942918181419373,0.13942918181419373,8.00000712275505
jvp_penalty_lambda_1,200,1.0,-20.1085844039917,19.326072692871094,0.6418882310390472,3.9225536584854126,0.10422175005078316,0.10422175005078316,8.00000712275505
jvp_penalty_lambda_10,200,1.0,-19.926270484924316,19.184054374694824,0.6443233489990234,2.4347097873687744,0.061696164309978485,0.061696164309978485,8.00000712275505
random_avoid,200,1.0,-20.104104042053223,19.378613471984863,0.6457502841949463,5.4066290855407715,0.1395728588104248,6.016689724219759e-07,8.00000712275505
transport_avoid,200,1.0,-19.98687171936035,19.217947006225586,0.6433665752410889,2.2488592863082886,9.232593640717823e-07,9.232593640717823e-07,8.00000712275505
