method,baseline,n_images,method_only_success,baseline_only_success,both_success,neither_success,delta_success,delta_success_ci_low,delta_success_ci_high,delta_final_margin,delta_final_margin_ci_low,delta_final_margin_ci_high,delta_hidden_mobility,delta_hidden_mobility_ci_low,delta_hidden_mobility_ci_high,delta_transport_projection_energy,delta_transport_projection_energy_ci_low,delta_transport_projection_energy_ci_high,delta_clean_state_jvp_gain,delta_clean_state_jvp_gain_ci_low,delta_clean_state_jvp_gain_ci_high,delta_transport_input_projection_ratio,delta_transport_input_projection_ratio_ci_low,delta_transport_input_projection_ratio_ci_high
jvp_penalty_lambda_0.1,baseline_margin_pgd,200,1,2,90,107,-0.005,-0.025,0.01,0.05393652439117434,-0.033040656089782655,0.14810516345500932,-0.04411098480224606,-0.09656856921315188,0.006856734871864299,0.0030241093412041666,-0.0014146371092647303,0.008330974481999872,-0.009947662204504033,-0.0483754251860082,0.027294142570346572,0.0008085342869162594,-0.002292476085945961,0.0038675223216414457
jvp_penalty_lambda_1,baseline_margin_pgd,200,2,3,89,106,-0.005,-0.03,0.015,0.05954447507858273,-0.043169789582490986,0.15408629935979837,-0.0494321411848069,-0.11948936670273551,0.03490191865712376,0.001273333504796025,-0.0038180108647793585,0.006570703787729134,-0.05852549731731415,-0.13529932171106335,0.009762667655944829,-0.002371389269828794,-0.005815511670894919,0.001245878004468974
jvp_penalty_lambda_10,baseline_margin_pgd,200,2,9,83,106,-0.035,-0.07,-0.005,0.6956019628047944,0.4213495573103428,0.9970021819770334,-0.3227845188975334,-0.4714618637263776,-0.17545091145485656,-0.006069799698889255,-0.012344067486934366,0.0005604075286537389,-0.471629471629858,-0.6537157302163541,-0.2976474119834604,-0.027227746695280074,-0.033928998255170886,-0.020582156911492348
random_avoid,baseline_margin_pgd,200,1,5,87,107,-0.02,-0.045,0.0,0.2090214538574219,0.1049294757246972,0.33155294412374486,-0.16619708985090248,-0.23240156751871102,-0.10633123411983242,-0.00407054126262665,-0.009301686270162467,0.0004971695356070938,-0.017643000632524487,-0.08785021175444126,0.07025781857222317,0.004980678707361226,0.0012186728650704106,0.008625983186066154
transport_avoid,baseline_margin_pgd,200,0,73,19,108,-0.365,-0.435,-0.3,6.028623946905136,5.417000707685947,6.63636495295167,-3.8522332984209062,-4.20600115833804,-3.495118059612811,-0.2332284175325185,-0.2576347653886769,-0.2086775288535282,-2.7535684920847414,-3.07979630690068,-2.4449967248868196,-0.3590983512601815,-0.3712203268038429,-0.34665015657053116
