method,baseline,n_images,method_only_success,baseline_only_success,both_success,neither_success,delta_success,delta_success_ci_low,delta_success_ci_high,delta_final_margin,delta_final_margin_ci_low,delta_final_margin_ci_high,delta_hidden_mobility,delta_hidden_mobility_ci_low,delta_hidden_mobility_ci_high,delta_transport_projection_energy,delta_transport_projection_energy_ci_low,delta_transport_projection_energy_ci_high,delta_clean_state_jvp_gain,delta_clean_state_jvp_gain_ci_low,delta_clean_state_jvp_gain_ci_high,delta_transport_input_projection_ratio,delta_transport_input_projection_ratio_ci_low,delta_transport_input_projection_ratio_ci_high
jvp_penalty_lambda_0.1,baseline_margin_pgd,200,0,1,83,116,-0.005,-0.015,0.0,0.007733415365219094,-0.029445634812116598,0.04501728165149685,-0.0010623953491449346,-0.006854430126026286,0.0051082869675010585,0.0007866955548524848,-0.000927453808486459,0.0025172728523612017,0.005249311774969108,-0.006055913873016819,0.019197378560900695,0.0012776973098516482,-0.0009040417894721,0.003434433463960886
jvp_penalty_lambda_1,baseline_margin_pgd,200,0,3,81,116,-0.015,-0.035,0.0,0.034348764419555644,-0.0014892135858535773,0.07116773456335064,-0.0064314013347029665,-0.011871842349879447,-0.0011141476836055556,0.0014735212177038207,-0.0017641488388180733,0.005581535743549469,-0.006839151829481125,-0.014656065862625838,0.00021098755113779934,-0.00016366101801395,-0.002518736720085146,0.002160994825884703
jvp_penalty_lambda_10,baseline_margin_pgd,200,1,5,79,115,-0.02,-0.045,0.0,0.4603364169597626,0.20935997492074965,0.7649566215872762,-0.053158285915851596,-0.0792367116510868,-0.030580326419323692,-0.00517390102148056,-0.011078406892716884,0.0006513494215905603,-0.09032688865438104,-0.13765732230991126,-0.052006250695325426,-0.023116233944892883,-0.028555285328999164,-0.01802151660807431
random_avoid,baseline_margin_pgd,200,0,3,81,116,-0.015,-0.035,0.0,0.1664847457408905,0.11613578340411188,0.21574306204915045,-0.026146479137241826,-0.03358487001527099,-0.018606339070945967,0.00073969103395939,-0.0018901806697249415,0.0037687537260353565,-0.008236101903021341,-0.01947013272158802,0.0038405314637347853,0.004322181344032292,0.0017763668037951048,0.006795300513505944
transport_avoid,baseline_margin_pgd,200,0,77,7,116,-0.385,-0.455,-0.315,5.982745136022568,5.339639956891537,6.6153471920192235,-0.9637234153156169,-1.0478274846680578,-0.8803447543284856,-0.12554884949699044,-0.1518201120849699,-0.09860299970954658,-0.6909009802297805,-0.7840781414939992,-0.6080394497488233,-0.45014895883738065,-0.4590725365434173,-0.441110520594581
