method,n_images,asr,median_final_margin,median_hidden_mobility,median_transport_energy,median_clean_jvp_gain,median_transport_input_ratio,median_constrained_input_ratio,max_linf_255
baseline_margin_pgd,200,0.42,3.244553565979004,1.0614963173866272,0.6498292684555054,0.47517645359039307,0.4608380049467087,0.4608380049467087,1.000007539987564
jvp_penalty_lambda_0.1,200,0.415,3.384791374206543,1.0708844661712646,0.6648411750793457,0.47244352102279663,0.45980799198150635,0.45980799198150635,1.000007539987564
jvp_penalty_lambda_1,200,0.405,3.3296037912368774,1.0579270720481873,0.6591868698596954,0.4879980832338333,0.4598749130964279,0.4598749130964279,1.000007539987564
jvp_penalty_lambda_10,200,0.4,3.536441683769226,0.9761978089809418,0.6349755227565765,0.4378135949373245,0.4387226700782776,0.4387226700782776,1.000007539987564
random_avoid,200,0.405,3.7474305629730225,1.0264544486999512,0.6517049074172974,0.45159031450748444,0.46355830132961273,0.000885162764461711,1.000007539987564
transport_avoid,200,0.035,8.381484985351562,0.12132367864251137,0.4883551150560379,0.009042500052601099,0.0002589813811937347,0.0002589813811937347,1.000007539987564
