Basis,"$\rho(m,E)$",AUROC$_{hi/lo}$,Low-energy ASR,High-energy ASR,Ratio,Adv AUROC
PGD transport,"0.560 [0.556, 0.563]","0.865 [0.863, 0.868]","6.7 [6.5, 6.9]","10.1 [9.8, 10.4]",1.5$\times$,"0.630 [0.625, 0.635]"
Square transport,"0.494 [0.490, 0.498]","0.817 [0.814, 0.819]","7.0 [6.8, 7.3]","10.3 [10.1, 10.6]",1.5$\times$,"0.624 [0.619, 0.628]"
