model,layer_rule,n_runs,layers,m0_singular_mean,m1_jvp_proxy_mean,m2_margin_mean,m3_gradient_mean,m4_transport_mean,delta_transport_mean,delta_transport_min,delta_transport_max,delta_transport_std,positive_rate_mean,positive_rate_min,positive_rate_max
bbb_densenet,nested_selected_nonlogit,15,denseblock3,0.30387348511358286,0.4266830464764665,0.9489664896652631,0.9489551886829397,0.9495307358635089,0.0005755471805691507,0.00015806791926165076,0.0009226426872532834,0.00028647862870372824,0.20724333333333333,0.20275,0.2109625
bbb_densenet,prespecified_prelogit,15,penultimate,0.3378701413334699,0.4497501913946004,0.9402491699042913,0.9402069000786661,0.9511390828910502,0.01093218281238401,0.008058255765268196,0.012927334293688864,0.0019841031634007787,0.18864999999999998,0.1832875,0.192025
bbb_inception_v3,nested_selected_nonlogit,15,mixed6/mixed7,0.28111509260511514,0.3863583967236802,0.9658307772172385,0.9660391074232841,0.9677878061657925,0.0017486987425083514,0.0006525820847469443,0.0035376938540874203,0.0012160162871808905,0.153315,0.143,0.164925
bbb_inception_v3,prespecified_prelogit,15,penultimate,0.3421916162348183,0.4539844558065346,0.962583672745326,0.9624932152791554,0.9664746881509108,0.0039814728717553205,0.0030662667764020934,0.004824136799732481,0.0005821479483820618,0.14653666666666665,0.1416125,0.1549125
bbb_resnet50,nested_selected_nonlogit,15,avgpool,0.35557500607623493,0.4545254017412205,0.9255248449898318,0.9254227358253195,0.9347454895038719,0.009322753678552427,0.007606967933968201,0.011042110277600603,0.0010525316052813695,0.16361583333333332,0.1589875,0.1686125
bbb_vgg19_bn,nested_selected_nonlogit,15,block5,0.2719948593704013,0.31080277963172226,0.946021124869019,0.9461298817191026,0.9477777657955123,0.0016478840764096337,0.0008117465610576469,0.0023537290939612543,0.00053493006293069,0.12102166666666667,0.1196375,0.1224375
bbb_vgg19_bn,prespecified_prelogit,15,penultimate,0.27490499030015253,0.3135774230734095,0.9472221895642243,0.9473392573449899,0.9494007467540807,0.0020614894090906924,0.001032929724078091,0.003028563993415778,0.0007294063392329783,0.12034833333333333,0.1186875,0.1216
