train_seed,split_seed,architecture,test_accuracy,test_nll,test_ece15,weak_eps_255,weak_steps,weak_step_size_255,difficulty_base_auprc,difficulty_plus_energy_auprc,dim80,dim90,effective_rank,final_test_auroc,final_test_auroc_ci_high,final_test_auroc_ci_low,final_test_failures,final_test_n,final_test_successes,incremental_auprc,selected_k,selected_layer,test_prevalence,validation_auroc,fd_jvp_norm_spearman,median_fd_jvp_cosine,median_stabilized_residual_ratio,n
20260713,1307,resnet18,0.9844813935075217,0.10863689333200455,0.05623364550484045,4.0,5.0,1.0,0.9781537273104942,0.9959332545103363,27,37,48.341920874079264,0.9621461487820934,0.9773681636232252,0.9433584007248834,93,387,294,0.017779527199842105,40,penultimate,0.7596899224806202,0.9681636095298334,0.9257736443411086,0.9353900253772736,0.30852889157718183,200
20260713,1307,convnext_tiny,0.9943784639746635,0.06538867205381393,0.04434157164084561,4.0,5.0,1.0,0.9544943933598562,0.9841850968023227,22,29,34.82915420137314,0.9252700670039656,0.951051305081286,0.896854903427009,103,387,284,0.029690703442466493,40,stage4,0.7338501291989664,0.9247066492829205,0.8996909922748071,0.9569366872310638,0.2051722920890129,200
20260714,1308,resnet18,0.9912114014251782,0.08794088661670685,0.0527121077146402,4.0,5.0,1.0,0.97652900610976,0.9962358737872062,26,35,44.655355955212116,0.968070559277998,0.9825430395222062,0.9512993920972644,103,387,284,0.019706867677446227,40,penultimate,0.7338501291989664,0.9588172043010752,0.9438475961899049,0.9251972138881683,0.3271436219240643,200
20260714,1308,convnext_tiny,0.9906571654790182,0.07604267448186874,0.04520550357002356,4.0,5.0,1.0,0.9435752908470174,0.9893361505997791,25,34,41.459422729365635,0.9663636363636364,0.9804686392556331,0.9489154065382785,112,387,275,0.04576085975276167,40,penultimate,0.710594315245478,0.965356362914433,0.9360504012600316,0.9185770153999329,0.24925577680110728,200
20260715,1309,resnet18,0.9833729216152018,0.11602853983640671,0.05632045339329885,2.0,5.0,0.5,0.9697140145509968,0.9873528237767074,24,35,43.17403201917904,0.9632847842877634,0.9797329177357227,0.9446126642552624,159,387,228,0.017638809225710594,40,penultimate,0.5891472868217055,0.9707922599488865,0.9719447986199656,0.9635284543037415,0.22252373814122797,200
20260715,1309,convnext_tiny,0.9908155186064925,0.08295078575611115,0.04349158907505316,4.0,5.0,1.0,0.9147329020770393,0.9813735957446152,24,33,37.96072855507809,0.9393642305407012,0.959693786653475,0.9169639948589093,132,387,255,0.06664069366757597,40,penultimate,0.6589147286821705,0.9362660532873299,0.9430615765394136,0.927623063325882,0.23374132778117096,200
