model,layer_rule,n_runs,layers,singular_auprc_mean,singular_auprc_std,singular_auprc_min,singular_auprc_max,jvp_auprc_mean,jvp_auprc_std,jvp_auprc_min,jvp_auprc_max,margin_auprc_mean,margin_auprc_std,margin_auprc_min,margin_auprc_max,transport_auprc_mean,transport_auprc_std,transport_auprc_min,transport_auprc_max,m3_auprc_mean,m3_auprc_std,m3_auprc_min,m3_auprc_max,m4_auprc_mean,m4_auprc_std,m4_auprc_min,m4_auprc_max,delta_transport_auprc_mean,delta_transport_auprc_std,delta_transport_auprc_min,delta_transport_auprc_max
bbb_densenet,nested_selected_nonlogit,15,denseblock3,0.2993856158169256,0.004203719455290801,0.2952568070956632,0.3056231645057083,0.4227325657738868,0.003153220904638487,0.418054890404746,0.4286907809159636,0.9492625538528106,0.006374375210875959,0.9419648033993264,0.9576833282962778,0.3712422750629957,0.01154880385287402,0.353768444722782,0.3805478984643237,0.9498256590151752,0.006270489751867408,0.9426308847199067,0.9581419936693528,0.9505358892040296,0.0063999111884836795,0.9433338914245992,0.9591900057941374,0.0007102301888543143,0.0002248215144869245,0.00036770429214361133,0.0010480121247845586
bbb_densenet,prespecified_prelogit,15,penultimate,0.3127906421793438,0.0030413638111497446,0.3081457332590235,0.3169549023511335,0.42577451931096405,0.0017961293490599713,0.4224247966002361,0.4277851921050394,0.9398362191956338,0.007203900446196144,0.93199311624341,0.9498681913209504,0.7965240768091751,0.01121241142428432,0.7812211995762812,0.8114514968425707,0.9410763960331772,0.006979844440518258,0.933290299853598,0.9507581276356636,0.9522080988927961,0.005370128735257256,0.94558529081995,0.9593232189586384,0.011131702859618812,0.0019962171392155876,0.008263995793297618,0.013211169901246489
bbb_inception_v3,nested_selected_nonlogit,15,mixed6/mixed7,0.27293641045531497,0.04335890319510727,0.2365078540202685,0.3327489898815577,0.3716362660168884,0.03293911275922991,0.3382565878824766,0.4160181351869789,0.9654220055102333,0.0021599784351607797,0.9622898050149272,0.9681360331361104,0.5190970532019137,0.3006330019198996,0.3044997167894026,0.9306439314906784,0.9668822707430814,0.0019715447132639583,0.9640297856536124,0.9694325915912696,0.9688121384006526,0.000880902665167616,0.9674484176827856,0.9702615743399126,0.001929867657571201,0.001163838427902258,0.0008289827486429591,0.003657233907369384
bbb_inception_v3,prespecified_prelogit,15,penultimate,0.33044838537525073,0.005654094269492955,0.3225091235123214,0.3371034467826534,0.417094000358109,0.006465058556542793,0.4087737739744115,0.4268737923764639,0.9617383848242888,0.0008716891748222293,0.9605413358384224,0.9630055212195492,0.9240239549621224,0.004398528756062508,0.9186139822759112,0.930476882207642,0.9634746297793193,0.0011055001721070735,0.9619598236726968,0.9651610892537064,0.9672945931241781,0.0007467291150758031,0.9664153386596304,0.9685407106726844,0.0038199633448587826,0.00043962804162542485,0.003226494325086815,0.004481673131817243
bbb_resnet50,nested_selected_nonlogit,15,avgpool,0.33276772168121216,0.004085826470503394,0.3252582520620314,0.3369357835385078,0.42373851487917363,0.00367068911136552,0.417304858213458,0.4293076030633597,0.9209682558083148,0.0033623907369985107,0.9157687563366428,0.9254073740975252,0.8915144735499682,0.0045007076725012765,0.8849646652215846,0.8984501562258915,0.9263878086045386,0.0028613573883256595,0.9224251069305098,0.9309456053509044,0.9357515531810154,0.002513518143765192,0.931588566072342,0.9392958079297876,0.009363744576476818,0.0009364227890847734,0.007807183672090212,0.010915430527415393
bbb_vgg19_bn,nested_selected_nonlogit,15,block5,0.2817053879896832,0.0028230677672086246,0.2784717500547937,0.2859880432520748,0.32828767249775337,0.0031062067490826815,0.323356312589222,0.3325202978207103,0.9463865582977764,0.0019793614529525503,0.9434601482377848,0.9486890031233106,0.7093856921454401,0.01784933896332918,0.6866325385006694,0.7341461775230994,0.9477632156368365,0.001978250912998855,0.9449193460523804,0.9502919666054196,0.9494623133697198,0.002436275231800898,0.9458844702941064,0.9522362826280946,0.0016990977328832442,0.0005425908301572996,0.0009015468462025833,0.002376084980638571
bbb_vgg19_bn,prespecified_prelogit,15,penultimate,0.2868173473143431,0.0031591117820867387,0.2835199237643037,0.2918879746777276,0.33378073507962963,0.0032313598648564756,0.3299501884934719,0.3392134124098273,0.9472859088121869,0.001650456355705721,0.9441020408120342,0.949195682501208,0.8205028452582784,0.017935222399136357,0.803530341751848,0.846337849478803,0.948997688613711,0.0016804318279576304,0.945814775327605,0.9514684656417586,0.9511239242316667,0.002360769525898322,0.946906118063878,0.9537717126720352,0.0021262356179556187,0.000795701381504352,0.0009827292136254107,0.0030647484251660195
