model,selector,n,image_count,sign_match,selected_margin_drop,oracle_margin_drop,selected_success,oracle_success
bbb_densenet,ce_gradient,600000,792,0.6919316666666666,6.408636916760405,7.717569643368125,0.248305,0.3166333333333333
bbb_densenet,dlr_gradient,600000,792,0.566705,5.795154203976591,7.717569643368125,0.228615,0.3166333333333333
bbb_inception_v3,ce_gradient,600000,792,0.6530433333333333,3.0875814417846996,4.22685140925318,0.18302666666666667,0.24988
bbb_inception_v3,dlr_gradient,600000,792,0.6076916666666666,3.0729505279164515,4.22685140925318,0.18397833333333333,0.24988
bbb_resnet50,ce_gradient,600000,792,0.6854633333333333,4.6614675541923445,5.799904125175675,0.20267,0.2610033333333333
bbb_resnet50,dlr_gradient,600000,792,0.577325,4.160734647865692,5.799904125175675,0.18289833333333333,0.2610033333333333
bbb_vgg19_bn,ce_gradient,600000,792,0.66359,2.814184949579537,3.5991328085957965,0.15012833333333334,0.195515
bbb_vgg19_bn,dlr_gradient,600000,792,0.56274,2.4358073794478177,3.5991328085957965,0.13153166666666666,0.195515
