model,split_seed,candidate_seed,layer_rule,layer,nested_model,features,n_candidates,n_images,n_positive,positive_rate,group_folds,oof_auroc,oof_auprc
bbb_densenet,1001,2,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,14663,0.1832875,5,0.9804824353281821,0.9382259327727108
bbb_densenet,1001,2,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,14663,0.1832875,5,0.9854001867283897,0.9509744137156955
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16302,0.203775,5,0.6572996009159418,0.31170453837511425
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16302,0.203775,5,0.7775391476523958,0.4310223152572354
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16302,0.203775,5,0.9814305874989429,0.9481921777997666
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16302,0.203775,5,0.9814352937560971,0.9481838055578956
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16302,0.203775,5,0.9814187895950358,0.9483781260005087
bbb_densenet,1001,3,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,14779,0.1847375,5,0.7047561756277543,0.3413326392961893
bbb_densenet,1001,3,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,14779,0.1847375,5,0.8114699055984848,0.4496932243032702
bbb_densenet,1001,3,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,14779,0.1847375,5,0.9799794306503163,0.9377255399276101
bbb_densenet,1001,3,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,14779,0.1847375,5,0.9799906413433412,0.9377032239997337
bbb_densenet,1001,3,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,14779,0.1847375,5,0.9852061750659228,0.9504379659518887
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16278,0.203475,5,0.6588462229226681,0.31159835042615125
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16278,0.203475,5,0.778658309903776,0.4302851561073447
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16278,0.203475,5,0.9814895766885863,0.9485799711679949
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16278,0.203475,5,0.9815088880187302,0.9485967455960429
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16278,0.203475,5,0.9814991171470309,0.9487548135153046
bbb_densenet,1001,4,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,14712,0.1839,5,0.7075966363683186,0.34296545154997704
bbb_densenet,1001,4,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,14712,0.1839,5,0.8141225302718623,0.4517574968776468
bbb_densenet,1001,4,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,14712,0.1839,5,0.9804933698126858,0.9384442121205914
bbb_densenet,1001,4,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,14712,0.1839,5,0.9804978142938879,0.938394770864309
bbb_densenet,1001,4,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,14712,0.1839,5,0.9855654390378676,0.9510742464902877
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16683,0.2085375,5,0.6401734075768815,0.3009393486838355
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16683,0.2085375,5,0.7688042923109318,0.425360366626025
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16683,0.2085375,5,0.9841531283674799,0.9569762315963837
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16683,0.2085375,5,0.9841256214865493,0.9569213804220396
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16683,0.2085375,5,0.9843072023067125,0.9577228846262285
bbb_densenet,1002,0,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15219,0.1902375,5,0.6884032161941802,0.3342302624619628
bbb_densenet,1002,0,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15219,0.1902375,5,0.8041602746903335,0.4487064791975647
bbb_densenet,1002,0,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15219,0.1902375,5,0.9824881435304547,0.9487289294180936
bbb_densenet,1002,0,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15219,0.1902375,5,0.9824917493653749,0.9486589345947023
bbb_densenet,1002,0,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15219,0.1902375,5,0.9862082200237746,0.9567171903599705
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16713,0.2089125,5,0.6394082215279278,0.3005425110355399
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16713,0.2089125,5,0.7684778636877306,0.4249877369946444
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16713,0.2089125,5,0.9839707096093772,0.9567807367842294
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16713,0.2089125,5,0.9839411648063278,0.9567028557134205
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16713,0.2089125,5,0.9841846962361855,0.9575653082164659
bbb_densenet,1002,1,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15131,0.1891375,5,0.6884089840421528,0.3332218036286945
bbb_densenet,1002,1,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15131,0.1891375,5,0.8043186097617666,0.4471101533358186
bbb_densenet,1002,1,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15131,0.1891375,5,0.9833953482222716,0.9500044256430926
bbb_densenet,1002,1,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15131,0.1891375,5,0.9834067660776452,0.9499705599147348
bbb_densenet,1002,1,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15131,0.1891375,5,0.9869769696009121,0.958078548860738
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16714,0.208925,5,0.6393914052160631,0.3007866947208621
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16714,0.208925,5,0.7669847201309152,0.4238062272919323
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16714,0.208925,5,0.9846862641350344,0.957388746616471
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16714,0.208925,5,0.9846900920275273,0.9574084565052376
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16714,0.208925,5,0.9849968462287769,0.9583310991924909
bbb_densenet,1002,2,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15219,0.1902375,5,0.6867265384568293,0.33120517090506596
bbb_densenet,1002,2,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15219,0.1902375,5,0.803178538207689,0.44631706790774917
bbb_densenet,1002,2,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15219,0.1902375,5,0.9821887882311195,0.9483747564093972
bbb_densenet,1002,2,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15219,0.1902375,5,0.9821908969598956,0.9483354390943409
bbb_densenet,1002,2,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15219,0.1902375,5,0.9864804823676809,0.9572808212685107
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16578,0.207225,5,0.639906641321804,0.29923299054990327
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16578,0.207225,5,0.7670926873776983,0.4213788715062995
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16578,0.207225,5,0.9843537751074435,0.9570948135818197
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16578,0.207225,5,0.9843829549730061,0.9571386136187184
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16578,0.207225,5,0.9845740859457522,0.9579166347274793
bbb_densenet,1002,3,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15294,0.191175,5,0.6892697481256431,0.3351994689645377
bbb_densenet,1002,3,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15294,0.191175,5,0.8051428931303533,0.4512126568736391
bbb_densenet,1002,3,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15294,0.191175,5,0.9831472803054668,0.9500293821127427
bbb_densenet,1002,3,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15294,0.191175,5,0.9831620800217732,0.9499994626489076
