architecture,runs,total_final_test_n,total_successes,total_failures,selected_layers,selected_k_values,test_accuracy_mean,test_accuracy_sd,test_accuracy_min,test_accuracy_max,test_nll_mean,test_nll_sd,test_nll_min,test_nll_max,test_ece15_mean,test_ece15_sd,test_ece15_min,test_ece15_max,final_test_auroc_mean,final_test_auroc_sd,final_test_auroc_min,final_test_auroc_max,incremental_auprc_mean,incremental_auprc_sd,incremental_auprc_min,incremental_auprc_max,median_fd_jvp_cosine_mean,median_fd_jvp_cosine_sd,median_fd_jvp_cosine_min,median_fd_jvp_cosine_max,median_stabilized_residual_ratio_mean,median_stabilized_residual_ratio_sd,median_stabilized_residual_ratio_min,median_stabilized_residual_ratio_max,fd_jvp_norm_spearman_mean,fd_jvp_norm_spearman_sd,fd_jvp_norm_spearman_min,fd_jvp_norm_spearman_max
convnext_tiny,3,1161,814,347,"penultimate, stage4",40,0.9919503826867246,0.0021042701784404734,0.9906571654790182,0.9943784639746635,0.0747940440972646,0.008847387625797875,0.06538867205381393,0.08295078575611115,0.044346221428640774,0.000856966708462068,0.04349158907505316,0.04520550357002356,0.9436659779694344,0.02088178952783928,0.9252700670039656,0.9663636363636364,0.047364085620934714,0.018527093519956277,0.029690703442466493,0.06664069366757597,0.9343789219856262,0.02005236458427901,0.9185770153999329,0.9569366872310638,0.2293897988904304,0.02236157997225548,0.2051722920890129,0.24925577680110728,0.9262676566914174,0.023281504748069778,0.8996909922748071,0.9430615765394136
resnet18,3,1161,806,355,penultimate,40,0.9863552388493005,0.004241923349912314,0.9833729216152018,0.9912114014251782,0.10420210659503937,0.014559518051752285,0.08794088661670685,0.11602853983640671,0.05508873553759317,0.0020586776724393426,0.0527121077146402,0.05632045339329885,0.9645004974492849,0.003143744391536744,0.9621461487820934,0.968070559277998,0.018375068034332975,0.0011555163798529027,0.017638809225710594,0.019706867677446227,0.9413718978563944,0.019853415240619544,0.9251972138881683,0.9635284543037415,0.28606541721415807,0.05581026591073739,0.22252373814122797,0.3271436219240643,0.947188679716993,0.023266198684179985,0.9257736443411086,0.9719447986199656
