model,split_seed,candidate_seed,layer_rule,layer,singular_auprc,jvp_auprc,margin_auprc,transport_auprc,m3_auprc,m4_auprc,delta_transport_auprc
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,0.3044191058034683,0.4268394650035386,0.946504323643645,0.3788633255597931,0.9469628786988656,0.9473305829910093,0.00036770429214361133
bbb_densenet,1001,0,prespecified_prelogit,penultimate,0.3169549023511335,0.4274576953105775,0.9391046893760856,0.7987510576229007,0.9408153035151186,0.9532822681113092,0.012466964596190677
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,0.3056231645057083,0.4286907809159636,0.9473973953305151,0.3769186791578857,0.9479641363300836,0.9484890659127992,0.0005249295827156608
bbb_densenet,1001,1,prespecified_prelogit,penultimate,0.3154211819429731,0.4257771758763803,0.9371490328229526,0.795224297027134,0.9387949618794336,0.95200613178068,0.013211169901246489
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,0.3045807982701136,0.4262957751511415,0.946743643776558,0.3791982412843768,0.9473328533901544,0.9478152809867204,0.0004824275965660263
bbb_densenet,1001,2,prespecified_prelogit,penultimate,0.3166066331594465,0.4269298808536012,0.937364870837064,0.7953783619546069,0.9389965631884204,0.9519464418879492,0.012949878699528794
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,0.3050453152112882,0.4259577694352028,0.9485540061009714,0.3799487829333419,0.949158195877547,0.9496269101556244,0.00046871427807737565
bbb_densenet,1001,3,prespecified_prelogit,penultimate,0.3152051554918907,0.425834500338181,0.936860095150649,0.7967340663752334,0.9384156197040736,0.9514671776236874,0.013051557919613765
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,0.305465967996064,0.4257316984138368,0.9488696789384172,0.378291511784563,0.9495481968748372,0.9499356918534962,0.00038749497865908644
bbb_densenet,1001,4,prespecified_prelogit,penultimate,0.3169154092587202,0.4274807689443682,0.9375025032635044,0.7971321775447922,0.9391477068090046,0.9520568804420114,0.01290917363300681
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,0.2970753272670165,0.4219809307996156,0.9573592970219742,0.3560481895097284,0.9577631288045744,0.9587154326548182,0.0009523038502438075
bbb_densenet,1002,0,prespecified_prelogit,penultimate,0.3096340652753064,0.423419293696646,0.948592146055721,0.8091490125111744,0.9494546826039452,0.9577186783972428,0.008263995793297618
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,0.297187005471353,0.422002784438129,0.9570615936809798,0.3556535806434186,0.9574910050556922,0.958472269963943,0.0009812649082507896
bbb_densenet,1002,1,prespecified_prelogit,penultimate,0.3091027627665594,0.4224247966002361,0.9498681913209504,0.8084611679158442,0.9506955498859848,0.9590076467486182,0.008312096862633345
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,0.296513774577617,0.4201092863513556,0.9576758388135276,0.3568647522317977,0.9581419936693528,0.9591900057941374,0.0010480121247845586
bbb_densenet,1002,2,prespecified_prelogit,penultimate,0.3081457332590235,0.4226936621399655,0.9483004571597292,0.8102608220737977,0.9490990810553248,0.9581834691249178,0.009084388069592997
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,0.2952568070956632,0.418054890404746,0.9574692405584876,0.353768444722782,0.9579498142198524,0.9588744258901352,0.0009246116702827933
bbb_densenet,1002,3,prespecified_prelogit,penultimate,0.3114068559013654,0.4267272188980742,0.9498123685512324,0.8114514968425707,0.9507581276356636,0.9593232189586384,0.008565091322974783
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,0.2972259341540861,0.4213084407764476,0.9576833282962778,0.3553763486285833,0.9580497764493786,0.9589023922054942,0.0008526157561156156
bbb_densenet,1002,4,prespecified_prelogit,penultimate,0.3086082927190094,0.4250859594900799,0.9494999291849612,0.8087328019708243,0.9502743173608296,0.9585640434533524,0.008289726092522876
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,0.298158163822438,0.4224109286690302,0.9419648033993264,0.3805478984643237,0.9426308847199067,0.9433338914245992,0.0007030067046924771
bbb_densenet,1003,0,prespecified_prelogit,penultimate,0.3124875196831839,0.4261554849139617,0.9320925207530673,0.7827774725314431,0.9333098400084304,0.94558529081995,0.012275450811519595
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,0.2953712128071273,0.4201873377940718,0.943173988660115,0.377822268314553,0.9438447093847282,0.9446656608569384,0.0008209514722101741
bbb_densenet,1003,1,prespecified_prelogit,penultimate,0.3115159930583396,0.4243709398707355,0.9329194205851076,0.7816251546856862,0.9343026855582198,0.94636870105224,0.012066015494020199
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,0.2969194564564192,0.4198053687464885,0.9421107121900832,0.3786136837705998,0.942922792953086,0.9437172525798576,0.0007944596267716042
bbb_densenet,1003,2,prespecified_prelogit,penultimate,0.3139507124149799,0.4277851921050394,0.932903559028905,0.7851695360290052,0.9341310708057088,0.9461389112183038,0.012007840412595061
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,0.2959008719754209,0.4211818223282434,0.9431778911843286,0.3805092840309828,0.9438323191108304,0.94444589849591,0.0006135793850795546
bbb_densenet,1003,3,prespecified_prelogit,penultimate,0.3126595985961151,0.427206894249085,0.9335803876011668,0.7812211995762812,0.9346601306339024,0.9458049854651596,0.011144854831257156
