model,selector,n,image_count,exact_candidate_match,selected_alpha_255,oracle_alpha_255,selected_margin_drop,oracle_margin_drop,selected_success,oracle_success,max_radius_success
bbb_densenet,ce_linear,120000,792,0.471175,8.0,7.354583333333333,10.41477073519528,12.918063986448447,0.44733333333333336,0.58495,0.44733333333333336
bbb_densenet,dlr_linear,120000,792,0.42275833333333335,8.0,7.354583333333333,9.85744060026904,12.918063986448447,0.42194166666666666,0.58495,0.44733333333333336
bbb_inception_v3,ce_linear,120000,792,0.425325,8.0,7.2302333333333335,5.6226785192916795,8.051796926259497,0.33745,0.48791666666666667,0.33745
bbb_inception_v3,dlr_linear,120000,792,0.427875,8.0,7.2302333333333335,5.705930508939922,8.051796926259497,0.3435166666666667,0.48791666666666667,0.33745
bbb_resnet50,ce_linear,120000,792,0.48354166666666665,8.0,7.399275,8.026479519637427,10.343503706643979,0.376175,0.5041,0.376175
bbb_resnet50,dlr_linear,120000,792,0.44161666666666666,8.0,7.399275,7.489360717217127,10.343503706643979,0.34973333333333334,0.5041,0.376175
bbb_vgg19_bn,ce_linear,120000,792,0.45705833333333334,8.0,7.236575,5.389940318446358,7.226052954844634,0.3042166666666667,0.4165,0.3042166666666667
bbb_vgg19_bn,dlr_linear,120000,792,0.41544166666666665,8.0,7.236575,4.922417913171649,7.226052954844634,0.27965,0.4165,0.3042166666666667
