model,split_seed,candidate_seed,layer_rule,layer,M0_singular,M1_jvp_proxy,M2_margin,M3_gradient,M4_transport,delta_transport_oof_auprc
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,0.3102835507502043,0.4315459303456949,0.946007461898877,0.9459637374483036,0.9461225429347297,0.0001588054864261057
bbb_densenet,1001,0,prespecified_prelogit,penultimate,0.3429453316105626,0.4513159111850733,0.940159107243189,0.9401413662079215,0.9525406227839779,0.012399256576056339
bbb_densenet,1001,1,nested_selected_nonlogit,denseblock3,0.3117910190901339,0.43364851529187565,0.9470155102875898,0.9470233803509212,0.9472780769873663,0.00025469663644517304
bbb_densenet,1001,1,prespecified_prelogit,penultimate,0.3417155106098225,0.45027843685258245,0.9382125620051514,0.9381496713186723,0.9510770056123612,0.012927334293688864
bbb_densenet,1001,2,nested_selected_nonlogit,denseblock3,0.310759794812598,0.43105292162877484,0.9463784615319858,0.9463425053188228,0.9465778455864545,0.0002353402676317229
bbb_densenet,1001,2,prespecified_prelogit,penultimate,0.34322844611686143,0.4514065968143225,0.9382797759841881,0.9382259327727108,0.9509744137156955,0.012748480942984641
bbb_densenet,1001,3,nested_selected_nonlogit,denseblock3,0.31170453837511425,0.4310223152572354,0.9481921777997666,0.9481838055578956,0.9483781260005087,0.0001943204426131384
bbb_densenet,1001,3,prespecified_prelogit,penultimate,0.3413326392961893,0.4496932243032702,0.9377255399276101,0.9377032239997337,0.9504379659518887,0.01273474195215496
bbb_densenet,1001,4,nested_selected_nonlogit,denseblock3,0.31159835042615125,0.4302851561073447,0.9485799711679949,0.9485967455960429,0.9487548135153046,0.00015806791926165076
bbb_densenet,1001,4,prespecified_prelogit,penultimate,0.34296545154997704,0.4517574968776468,0.9384442121205914,0.938394770864309,0.9510742464902877,0.012679475625978709
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,0.3009393486838355,0.425360366626025,0.9569762315963837,0.9569213804220396,0.9577228846262285,0.0008015042041888965
bbb_densenet,1002,0,prespecified_prelogit,penultimate,0.3342302624619628,0.4487064791975647,0.9487289294180936,0.9486589345947023,0.9567171903599705,0.008058255765268196
bbb_densenet,1002,1,nested_selected_nonlogit,denseblock3,0.3005425110355399,0.4249877369946444,0.9567807367842294,0.9567028557134205,0.9575653082164659,0.0008624525030453967
bbb_densenet,1002,1,prespecified_prelogit,penultimate,0.3332218036286945,0.4471101533358186,0.9500044256430926,0.9499705599147348,0.958078548860738,0.008107988946003175
bbb_densenet,1002,2,nested_selected_nonlogit,denseblock3,0.3007866947208621,0.4238062272919323,0.957388746616471,0.9574084565052376,0.9583310991924909,0.0009226426872532834
